"crl.tot","dollar","bang","money","n000","make","yesno"
409,0,0.768,0,0.56,0,"y"
481,0.026,0,0,0.29,0.09,"n"
18,0,0.25,0,0,0,"n"
164,0.128,0.085,0.54,0,0,"y"
262,0,0,0,0,0,"n"
24,0,0,0,0,0,"n"
2259,0.184,0.276,0.06,1.16,0.06,"y"
179,0,0.802,0.43,0,0.43,"y"
97,0,0,0,0,0,"n"
136,0,0.153,0,0,0,"y"
211,0.059,0.238,0.36,0,0,"y"
291,0.117,0.117,0,0,0,"y"
260,0.105,0.079,0.16,0,0,"y"
222,0.336,0.112,0,0,0,"y"
7,0,0,0,0,0,"n"
31,0,0,1.66,0,0,"n"
261,0,0.093,0,0,0.06,"n"
333,0.232,0,0.08,1.14,0.16,"y"
69,0,0,0,0,0,"n"
186,0,0.963,0,0,0,"y"
255,0.184,0.985,0,0.38,0,"y"
30,0,0,0,0,0,"n"
23,0,1.081,0,0,0,"y"
955,0.08,0.773,0,0,0.16,"y"
5,0,0,0,0,0,"n"
552,0,0.042,0,0.09,0.09,"n"
418,0.053,0,0,0.41,0,"n"
5,0,0,0,0,0,"n"
542,0.031,0.252,0.09,0.36,0.09,"y"
174,0.174,0.299,0,0.64,0,"y"
326,0.05,0.083,0.14,0,0.29,"y"
48,0,0.173,0,0,0,"n"
94,0,0.74,0,0,0,"y"
7,0,0,0,0,0,"n"
183,0,0.196,0,0,0.69,"y"
134,0,0.77,0,0,0,"y"
47,0,0,0,0,0,"n"
107,0,0.428,0,0,0,"y"
43,0.327,0.327,0,0,0,"n"
36,0,0,0,0,0,"n"
1116,0.663,0.906,0,0,0,"y"
82,0,0,0,0,0,"n"
427,0.05,0.376,0.3,0.15,0,"y"
101,0,0.336,0,0,0,"n"
8,0,0,0,0,0,"n"
323,0,0,0,0,0,"n"
106,0,0,0,0,0,"y"
4,0,0,0,0,0,"n"
61,0.043,0,0,0,0,"n"
114,0,0.282,0,0,0,"n"
136,0,0,0,0,0,"n"
442,0.132,0.663,1.32,0,0,"y"
872,0.232,0.402,0.29,0.09,0.19,"y"
37,0,0,0,0,0,"n"
74,0,0,0,0,0,"y"
130,0,0.122,0,0,0,"n"
145,0,0.683,0,0,0,"y"
472,0,0,0,0,0,"y"
282,0,0,0,0,0,"n"
247,0.251,0.502,0,0.48,0,"y"
921,0.191,0.438,0.77,1.34,0.77,"y"
131,0.473,0.094,0,1.53,0,"y"
101,0.084,0,0,0,0.27,"n"
182,0,0.123,0,0,0,"n"
125,0,1.098,0,2.59,0,"y"
16,0,0.328,0,0,0,"y"
247,0.034,0.238,0,0,0,"y"
32,0,0,0,0,0,"n"
14,0,0,0,0,0,"n"
85,0,0.968,0,1.02,0,"y"
35,0,0,0,0,0,"n"
1583,0.011,0,0,0,0.08,"n"
66,0,0,0,0,0,"y"
129,0,0,0,0,0,"n"
46,0,0.326,0,0,0,"y"
8,0,0.613,0,0,0,"n"
33,0.35,0.701,0,0,0,"y"
574,0.013,0.095,0.08,0.34,0.17,"y"
91,0,0.784,0,0,0,"y"
108,0.857,0,0,0,0,"n"
24,0,0.371,0,0,0,"n"
3315,0,0.016,0,0,0,"y"
717,0.467,0.175,0.48,0,0.96,"y"
112,0.256,0.64,0.39,1.19,0.39,"y"
183,0.239,1.118,0,1.48,0.49,"y"
58,0,0,0,0,0,"n"
75,0,1.806,0,0,0,"y"
530,0.031,0.237,0.09,0.36,0.09,"y"
57,0,0,0,0,0,"y"
